Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | libdnf2                                    | package | 0.73.3-1.1                             | x86_64 | Main Repository (OSS)
i  | libdotconf0                                | package | 1.4.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libdouble-conversion3                      | package | 3.3.0-1.4                              | x86_64 | Main Repository (OSS)
i  | libdovi3                                   | package | 3.3.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libdrm2                                    | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm2-32bit                              | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_amdgpu1                             | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_amdgpu1-32bit                       | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_intel1                              | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_intel1-32bit                        | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_radeon1                             | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libdrm_radeon1-32bit                       | package | 2.4.123-1.1                            | x86_64 | Main Repository (OSS)
i  | libduktape207                              | package | 2.7.0-3.3                              | x86_64 | Main Repository (OSS)
i  | libdv4                                     | package | 1.0.0-180.1                            | x86_64 | Main Repository (OSS)
i  | libdvbpsi10                                | package | 1.3.3-1.17                             | x86_64 | Main Repository (OSS)
i  | libdvdnav4                                 | package | 6.1.1-1.11                             | x86_64 | Main Repository (OSS)
i  | libdvdread8                                | package | 6.1.3-1.8                              | x86_64 | Main Repository (OSS)
i  | libdw1                                     | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | libdw1-32bit                               | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | libdwarves1                                | package | 1.27-3.1                               | x86_64 | Main Repository (OSS)
i  | libebackend-1_2-11                         | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libebml5                                   | package | 1.4.5-2.3                              | x86_64 | Main Repository (OSS)
i  | libebook-1_2-21                            | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libebook-contacts-1_2-4                    | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libecal-2_0-3                              | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libeconf-devel                             | package | 0.7.4-2.1                              | x86_64 | Main Repository (OSS)
i  | libeconf0                                  | package | 0.7.4-2.1                              | x86_64 | Main Repository (OSS)
i  | libeconf0-32bit                            | package | 0.7.4-2.1                              | x86_64 | Main Repository (OSS)
i  | libedata-book-1_2-27                       | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libedata-cal-2_0-2                         | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libedataserver-1_2-27                      | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libedataserverui-1_2-4                     | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libedit0                                   | package | 20210910.3.1-2.7                       | x86_64 | Main Repository (OSS)
i  | libedit0-32bit                             | package | 20210910.3.1-2.7                       | x86_64 | Main Repository (OSS)
i  | libefa1                                    | package | 54.0-1.1                               | x86_64 | Main Repository (OSS)
i  | libefivar1                                 | package | 38-3.1                                 | x86_64 | Main Repository (OSS)
i  | libei1                                     | package | 1.3.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libelf-devel                               | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
